canonical_path,data_level,dataset,task,method,seed,rows,columns,source_path,source_sha256,canonical_sha256,status,transformation,intended_use,notes
paper_data/00_metadata/DATA_DICTIONARY.md,documentation,,,,,NA,NA,,,e4f3e17195d0cd367557d22ea949dc4d35ff88357715505a63cfaf9b7722bd8b,DERIVED,generated by build_paper_data.py,provenance and usage,
paper_data/00_metadata/datasets.csv,metadata,,,,,3,5,,,1e00029daedbcd87cf4096a512061cb1746dc6d78ac32e2f9aa276202fceb989,DERIVED,curated from audited protocols,data dictionary,
paper_data/00_metadata/experiment_protocols.csv,metadata,,,,,4,5,,,8ccd798aea96fc6b434b144dd0b8c8989aae854f21967bbcbc0e27b7d8308e27,DERIVED,curated from audited protocols,data dictionary,
paper_data/00_metadata/methods.csv,metadata,,,,,10,4,,,205a3a99bfe32fe6bab0387bd81ad5277269fcc7cedf394c54d022a97aff02b7,DERIVED,curated from audited protocols,data dictionary,
paper_data/00_metadata/metrics.csv,metadata,,,,,9,4,,,5fc5fa7b8d878d44ac405bea8100719b0b246295e1a40c57d12ee86ab620129e,DERIVED,curated from audited protocols,data dictionary,
paper_data/00_metadata/tasks.csv,metadata,,,,,10,6,,,1a5f01b8b43cfc068e3f8798e4d5510e34aa387d151d8bfb442417a6f465af92,DERIVED,curated from audited protocols,data dictionary,
paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,summary,PHM2010,D1,,,9,18,final_statistical_evidence/results/D1_MAIN_BOOTSTRAP_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,none,PHM2010 D1 main comparison and bootstrap CI,
paper_data/01_PHM2010/01_main_D1/D1_common_universe_manifest.csv,manifest,PHM2010,D1,,,9,4,final_statistical_evidence/predictions_common_universe/D1_MANIFEST.csv,4c2cc3b0edd1c0be34d17eac0756f75e4a8e8fa05df46ba300d9d82814ff939b,4c2cc3b0edd1c0be34d17eac0756f75e4a8e8fa05df46ba300d9d82814ff939b,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dc_psr/bootstrap_config.json,bootstrap,PHM2010,D1,dc_psr,,NA,NA,final_statistical_evidence/bootstrap/dc_psr/bootstrap_config.json,f6d2cb69ee16c244f0b4b215fb30783d3b6dab34cca6ce9c0825bf3ae4764e31,f6d2cb69ee16c244f0b4b215fb30783d3b6dab34cca6ce9c0825bf3ae4764e31,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dc_psr/bootstrap_samples.csv,bootstrap,PHM2010,D1,dc_psr,,5000,10,final_statistical_evidence/bootstrap/dc_psr/bootstrap_samples.csv,25e960633c35e4a1097442f53f2ca14cd2dafd03f115d967992bbfa0f841219e,25e960633c35e4a1097442f53f2ca14cd2dafd03f115d967992bbfa0f841219e,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dc_psr/bootstrap_summary.csv,bootstrap,PHM2010,D1,dc_psr,,9,8,final_statistical_evidence/bootstrap/dc_psr/bootstrap_summary.csv,fb8ad37fe0d670ff0fee5d7e39e362526facc90c68f77aba3d6365e9da4b3302,fb8ad37fe0d670ff0fee5d7e39e362526facc90c68f77aba3d6365e9da4b3302,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dp2net_adapted/bootstrap_config.json,bootstrap,PHM2010,D1,dp2net_adapted,,NA,NA,final_statistical_evidence/bootstrap/dp2net_adapted/bootstrap_config.json,6d0cb3502e6f0772e7a841604d38d59e5b83ae4cba0354b81b1d0bf00592afa7,6d0cb3502e6f0772e7a841604d38d59e5b83ae4cba0354b81b1d0bf00592afa7,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dp2net_adapted/bootstrap_samples.csv,bootstrap,PHM2010,D1,dp2net_adapted,,5000,10,final_statistical_evidence/bootstrap/dp2net_adapted/bootstrap_samples.csv,47603597df8d842419a1ed68b0ef372a42a275862211bcfca2e33bfff5fc5d3e,47603597df8d842419a1ed68b0ef372a42a275862211bcfca2e33bfff5fc5d3e,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dp2net_adapted/bootstrap_summary.csv,bootstrap,PHM2010,D1,dp2net_adapted,,9,8,final_statistical_evidence/bootstrap/dp2net_adapted/bootstrap_summary.csv,136b31bd5935d0ab37bfb14a9a67e8aed63a74893bb4e283d8c7499b14162477,136b31bd5935d0ab37bfb14a9a67e8aed63a74893bb4e283d8c7499b14162477,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dynamic_gin_tgp/bootstrap_config.json,bootstrap,PHM2010,D1,dynamic_gin_tgp,,NA,NA,final_statistical_evidence/bootstrap/dynamic_gin_tgp/bootstrap_config.json,b8c9a60bb00327e19c07c5b0e754ba88f89564e0bc99333113285beafb9325c3,b8c9a60bb00327e19c07c5b0e754ba88f89564e0bc99333113285beafb9325c3,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dynamic_gin_tgp/bootstrap_samples.csv,bootstrap,PHM2010,D1,dynamic_gin_tgp,,5000,10,final_statistical_evidence/bootstrap/dynamic_gin_tgp/bootstrap_samples.csv,ee313f4fb20c928c2ecde9a100eb9a9097f03d8068f41c8f8c62f494c9bdd62e,ee313f4fb20c928c2ecde9a100eb9a9097f03d8068f41c8f8c62f494c9bdd62e,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/dynamic_gin_tgp/bootstrap_summary.csv,bootstrap,PHM2010,D1,dynamic_gin_tgp,,9,8,final_statistical_evidence/bootstrap/dynamic_gin_tgp/bootstrap_summary.csv,9304486674440fd2f6bb5412e01816a95eae3236327a35978522037942242552,9304486674440fd2f6bb5412e01816a95eae3236327a35978522037942242552,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/htt_net/bootstrap_config.json,bootstrap,PHM2010,D1,htt_net,,NA,NA,final_statistical_evidence/bootstrap/htt_net/bootstrap_config.json,63248a9627f1bd300ada919cba7c916973696605360beee49320edd22d9142fd,63248a9627f1bd300ada919cba7c916973696605360beee49320edd22d9142fd,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/htt_net/bootstrap_samples.csv,bootstrap,PHM2010,D1,htt_net,,5000,10,final_statistical_evidence/bootstrap/htt_net/bootstrap_samples.csv,ca04a9152cbd7916f8009b0008965730eccb63615ef6efbea752fddcd928385e,ca04a9152cbd7916f8009b0008965730eccb63615ef6efbea752fddcd928385e,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/htt_net/bootstrap_summary.csv,bootstrap,PHM2010,D1,htt_net,,9,8,final_statistical_evidence/bootstrap/htt_net/bootstrap_summary.csv,a780383152999888cf6b8c9202e6f2b50665764acb6ef51e7a3b2f8130b68c7e,a780383152999888cf6b8c9202e6f2b50665764acb6ef51e7a3b2f8130b68c7e,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/mtf_avitk/bootstrap_config.json,bootstrap,PHM2010,D1,mtf_avitk,,NA,NA,final_statistical_evidence/bootstrap/mtf_avitk/bootstrap_config.json,3a8b3b31052bbd7873c34e16975325e6db9f38b61e2b21f1eb7bd8997012a516,3a8b3b31052bbd7873c34e16975325e6db9f38b61e2b21f1eb7bd8997012a516,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/mtf_avitk/bootstrap_samples.csv,bootstrap,PHM2010,D1,mtf_avitk,,5000,10,final_statistical_evidence/bootstrap/mtf_avitk/bootstrap_samples.csv,dc617e7087c0ae2e11c77a99e16282634777b682675b3a26d13365905b7bfa62,dc617e7087c0ae2e11c77a99e16282634777b682675b3a26d13365905b7bfa62,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/mtf_avitk/bootstrap_summary.csv,bootstrap,PHM2010,D1,mtf_avitk,,9,8,final_statistical_evidence/bootstrap/mtf_avitk/bootstrap_summary.csv,efd344602330d1226b1702b7ab7ce42fdaa098d7beda285a3b8ac521d31b6b32,efd344602330d1226b1702b7ab7ce42fdaa098d7beda285a3b8ac521d31b6b32,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/multi_source_attention/bootstrap_config.json,bootstrap,PHM2010,D1,multi_source_attention,,NA,NA,final_statistical_evidence/bootstrap/multi_source_attention/bootstrap_config.json,a4e2b8eb7640e63047d982e6128e69566b301ccc7768f2761547aeafb2cea049,a4e2b8eb7640e63047d982e6128e69566b301ccc7768f2761547aeafb2cea049,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/multi_source_attention/bootstrap_samples.csv,bootstrap,PHM2010,D1,multi_source_attention,,5000,10,final_statistical_evidence/bootstrap/multi_source_attention/bootstrap_samples.csv,6b56394f81e052f093ed7c9d909972189df8344d3e708380dc5e8d5512211347,6b56394f81e052f093ed7c9d909972189df8344d3e708380dc5e8d5512211347,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/multi_source_attention/bootstrap_summary.csv,bootstrap,PHM2010,D1,multi_source_attention,,9,8,final_statistical_evidence/bootstrap/multi_source_attention/bootstrap_summary.csv,796d698fcce3e4f3dd6516e76d000a5443ea9fbaacd58fa4ee53ed4e30e279b2,796d698fcce3e4f3dd6516e76d000a5443ea9fbaacd58fa4ee53ed4e30e279b2,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/multitask_tcn_gru/bootstrap_config.json,bootstrap,PHM2010,D1,multitask_tcn_gru,,NA,NA,final_statistical_evidence/bootstrap/multitask_tcn_gru/bootstrap_config.json,4d134fb754c11bd36d6a7ad1f983d2c3bb6b7f416308612192f7b2d92d72ebb1,4d134fb754c11bd36d6a7ad1f983d2c3bb6b7f416308612192f7b2d92d72ebb1,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/multitask_tcn_gru/bootstrap_samples.csv,bootstrap,PHM2010,D1,multitask_tcn_gru,,5000,10,final_statistical_evidence/bootstrap/multitask_tcn_gru/bootstrap_samples.csv,73cc224d933d31946d1a8f31c087ea515a37cb5e0d9b540f3ebdac378f4e9c79,73cc224d933d31946d1a8f31c087ea515a37cb5e0d9b540f3ebdac378f4e9c79,AUTHORITATIVE,none,,
paper_data/01_PHM2010/01_main_D1/bootstrap/multitask_tcn_gru/bootstrap_summary.csv,bootstrap,PHM2010,D1,multitask_tcn_gru,,9,8,final_statistical_evidence/bootstrap/multitask_tcn_gru/bootstrap_summary.csv,d37d5cd71e6f02e3e890c4000dc5a868ca96e6ad53019cc9c349f40d571205e1,d37d5cd71e6f02e3e890c4000dc5a868ca96e6ad53019cc9c349f40d571205e1,AUTHORITATIVE,none,,
